wallet_count,event_name,outcome,total_volume,avg_conviction,entry_price,roi,category,status,profit_loss
5,Will Stable launch a token in 2025?,YES,35922,96.5%,0.21,376%,Other,WIN,135137
5,Will Trump acquire Greenland before 2027?,NO,31135,100.0%,0.14,614%,Politics,UNVERIFIED,
5,What will Google (GOOGL) hit before 2026?,NO,14474,100.0%,0.47,113%,Tech,UNVERIFIED,
5,Logan Paul Charizard Sale Price?,YES,26372,98.6%,0.07,1289%,Other,UNVERIFIED,
5,NVIDIA above ___ end of January?,YES,6459,100.0%,0.45,122%,Markets,UNVERIFIED,
5,Will the Iranian regime fall before 2027?,NO,14214,96.3%,0.34,194%,Geopolitics,UNVERIFIED,
5,Will Israel strike Gaza on...?,NO,21630,91.7%,0.29,245%,Geopolitics,WIN,52956
5,What will Trump say on January 28?,NO,27895,96.3%,0.48,108%,Politics,UNVERIFIED,
5,Will Silver hit ___ by end of February?,NO,27945,94.0%,0.14,614%,Commodities,UNVERIFIED,
5,Will Tesla beat quarterly earnings?,NO,48834,96.1%,0.41,144%,Markets,UNVERIFIED,
5,Will S&P 500 hit 7k by...?,NO,24925,96.1%,0.55,82%,Markets,UNVERIFIED,
5,Anyone charged over Daycare fraud?,YES,15273,96.8%,0.43,133%,Other,UNVERIFIED,
5,Khamenei out by March 31?,NO,7789,99.0%,0.18,456%,Geopolitics,UNVERIFIED,
5,US/Israel strikes Iran by...?,NO,10337,94.3%,0.23,335%,Geopolitics,UNVERIFIED,
5,What will Trump say during Fed Chair announcement?,YES,22082,92.4%,0.49,106%,Politics,UNVERIFIED,
5,Starmer out by...?,YES,17388,100.0%,0.48,108%,Politics,UNVERIFIED,
5,NVIDIA finish week above___?,YES,11699,100.0%,0.48,108%,Markets,UNVERIFIED,
5,Opendoor finish week above___?,YES,6428,100.0%,0.49,104%,Markets,UNVERIFIED,
5,Will Russia capture Myrnohrad?,NO,14901,93.2%,0.37,170%,Geopolitics,UNVERIFIED,
5,What will Gold hit by end of June?,NO,8492,100.0%,0.26,285%,Commodities,UNVERIFIED,
6,Will China invade Taiwan by end of 2026?,NO,14113,100.0%,0.14,614%,Geopolitics,UNVERIFIED,
6,Will Trump meet with Zelenskyy?,NO,17056,100.0%,0.52,94%,Politics,LOSS,-17056
6,Khamenei out by February 28?,NO,15921,98.8%,0.19,426%,Geopolitics,UNVERIFIED,
6,What will XRP hit in January?,NO,20271,94.5%,0.10,890%,Crypto,UNVERIFIED,
6,Russia x Ukraine ceasefire by March?,NO,33578,99.1%,0.56,79%,Geopolitics,UNVERIFIED,
6,Will Tesla beat earnings?,NO,48834,96.1%,0.41,144%,Markets,UNVERIFIED,
6,What will happen before GTA VI?,NO,17849,100.0%,0.49,104%,Gaming,LOSS,-17849
6,Khamenei out in 2026?,YES,20424,95.8%,0.57,75%,Geopolitics,UNVERIFIED,
6,Who will Trump talk to in February?,NO,69833,96.3%,0.51,96%,Politics,UNVERIFIED,
6,Bundesliga Top 4 Finish,NO,11820,86.5%,0.51,96%,Other,UNVERIFIED,
6,Which companies will have #1 AI?,NO,12700,95.4%,0.30,233%,Tech,UNVERIFIED,
7,Will Israel strike Gaza on...?,NO,37138,93.0%,0.25,302%,Geopolitics,WIN,112298
7,Lighter airdrop by...?,YES,45909,94.5%,0.28,257%,Other,UNVERIFIED,
7,XRP above ___ on December 1?,NO,7967,96.4%,0.42,138%,Crypto,UNVERIFIED,
7,Will Jesus Christ return in 2025?,YES,262631,99.9%,UNKNOWN,UNKNOWN,Other,UNVERIFIED,
7,Will Israel strike Lebanon?,YES,29649,94.4%,0.56,79%,Geopolitics,WIN,23296
7,Will Trump acquire Greenland?,NO,46634,99.6%,0.12,733%,Politics,UNVERIFIED,
7,Which companies run Pro Bowl ads?,YES,15005,94.3%,0.39,156%,Entertainment,UNVERIFIED,
8,Who will Trump talk to in November?,YES,25997,94.0%,0.13,646%,Politics,UNVERIFIED,
8,XRP above ___ on December 1?,YES,8584,94.2%,0.02,4662%,Crypto,UNVERIFIED,
8,Will Silver hit ___ by June?,NO,13296,94.0%,0.38,165%,Commodities,UNVERIFIED,
8,Which companies will be acquired?,YES,32342,99.3%,0.39,156%,Other,UNVERIFIED,
8,What will Trump say Feb 1?,NO,65262,94.7%,0.24,317%,Politics,WIN,206663
8,What will Powell say?,NO,38854,96.6%,0.43,133%,Other,UNVERIFIED,
8,Another Cloudflare incident?,NO,50044,99.5%,0.49,104%,Tech,UNVERIFIED,
8,Russia x Ukraine ceasefire?,NO,30153,96.4%,0.43,133%,Geopolitics,UNVERIFIED,
9,Russia x Ukraine ceasefire by March?,NO,12933,98.3%,0.11,809%,Geopolitics,UNVERIFIED,
9,What will Trump say in Iowa?,NO,19056,94.7%,0.58,72%,Politics,UNVERIFIED,
10,Maduro out by...?,NO,70220,96.6%,0.00,33233%,Geopolitics,LOSS,-70220
10,Will Israel strike Gaza?,YES,29790,96.3%,0.43,131%,Geopolitics,WIN,39169
10,Will Silver hit ___ by February?,NO,27945,94.0%,0.14,614%,Commodities,UNVERIFIED,
11,What price will XRP hit?,YES,40315,100.0%,0.01,11972%,Crypto,UNVERIFIED,
11,Logan Paul Pikachu Sale Price?,YES,38144,96.2%,0.32,213%,Other,UNVERIFIED,
11,Will Silver hit ___ by June?,NO,17181,98.5%,0.38,165%,Commodities,UNVERIFIED,
11,How long will Shutdown last?,NO,33238,95.3%,0.31,223%,Politics,WIN,73982
11,Xi Jinping out before 2027?,YES,149142,98.6%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
12,Polymarket US go live in 2025?,YES,68656,93.7%,0.27,-100%,Other,LOSS,-68656
12,Will Stable launch a token?,YES,155548,99.4%,UNKNOWN,UNKNOWN,Other,WIN,UNKNOWN
12,Will China invade Taiwan in 2025?,YES,142999,99.6%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
12,Russia x Ukraine ceasefire by March?,NO,140739,93.8%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
12,Trump announces Fed Chair?,NO,112891,94.5%,0.32,212%,Politics,UNVERIFIED,
12,Which companies added to S&P 500?,YES,46199,100.0%,0.52,93%,Markets,UNVERIFIED,
13,Russia x Ukraine ceasefire 2025?,NO,58380,99.8%,0.08,-100%,Geopolitics,LOSS,-58380
13,Russia x Ukraine ceasefire by 2026?,NO,62270,97.0%,0.44,127%,Geopolitics,UNVERIFIED,
13,What will Trump say Feb 8?,NO,395255,94.6%,0.50,100%,Politics,UNVERIFIED,
14,Top 5 Most Searched Google 2025,NO,66973,94.8%,0.37,170%,Tech,UNVERIFIED,
14,US bank failure by January 31?,NO,264628,95.8%,0.03,3471%,Financial,WIN,9186396
14,Total commitments Hurupay sale,NO,58718,93.6%,0.16,543%,Other,UNVERIFIED,
14,What will Trump say in Iowa?,NO,49007,96.4%,0.42,138%,Politics,UNVERIFIED,
15,Silver above ___ end of January?,YES,67545,94.8%,0.45,122%,Commodities,UNVERIFIED,
16,Trump release Epstein files?,YES,55498,96.8%,0.31,223%,Politics,WIN,123528
16,US strikes Nigeria by...?,YES,147039,98.1%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
16,What will Trump say Feb 1?,NO,179454,95.6%,0.33,203%,Politics,WIN,364346
16,US bank failure by January 31?,NO,535285,97.2%,0.03,3471%,Financial,WIN,UNKNOWN
17,Khamenei out by February 28?,NO,301658,96.6%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
18,xQc beat Forsen's Minecraft record?,NO,81778,95.6%,0.13,692%,Gaming,UNVERIFIED,
18,What will Gold hit by end of Jan?,NO,165826,96.3%,0.15,-100%,Commodities,LOSS,-165826
18,Russia x Ukraine ceasefire?,YES,256786,94.1%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
19,Top 5 Most Searched Google 2025,YES,194139,95.4%,UNKNOWN,UNKNOWN,Tech,UNVERIFIED,
20,US x Venezuela engagement?,NO,100808,96.7%,0.29,245%,Geopolitics,WIN,246806
20,Will Israel strike Lebanon?,NO,142749,94.9%,0.43,133%,Geopolitics,WIN,189226
20,Measles cases in US 2026?,NO,54355,98.3%,0.20,390%,Health,UNVERIFIED,
20,What will happen before GTA VI?,YES,98689,96.4%,0.51,96%,Gaming,LOSS,-98689
21,Will Israel strike Lebanon?,NO,99596,96.0%,0.11,809%,Geopolitics,WIN,805826
21,What will Gold hit by end of Feb?,NO,188902,96.1%,UNKNOWN,UNKNOWN,Commodities,UNVERIFIED,
22,Silver above ___ end of January?,YES,149223,96.4%,0.06,1567%,Commodities,UNVERIFIED,
23,Which companies run Pro Bowl ads?,NO,68719,97.1%,0.55,82%,Entertainment,UNVERIFIED,
25,Stranger Things episode released?,YES,2005510,97.0%,UNKNOWN,UNKNOWN,Entertainment,UNVERIFIED,
26,What price will XRP hit in Jan?,YES,58141,99.8%,0.48,108%,Crypto,UNVERIFIED,
27,What will Gold hit by end of Jan?,NO,354552,96.8%,0.09,-100%,Commodities,LOSS,-354552
27,Lighter airdrop by...?,NO,215219,99.0%,UNKNOWN,UNKNOWN,Other,UNVERIFIED,
28,What will Gold hit by end of Jan?,NO,354552,96.8%,0.09,-100%,Commodities,LOSS,DUPLICATE
29,What will Bryan Johnson say?,NO,215362,95.3%,UNKNOWN,UNKNOWN,Other,UNVERIFIED,
29,How long will Shutdown last?,NO,167841,95.3%,0.23,335%,Politics,WIN,561905
35,US government shutdown Saturday?,YES,104212,94.4%,0.24,317%,Politics,WIN,330006
35,Nothing Ever Happens: November,NO,277899,95.5%,UNKNOWN,UNKNOWN,Other,UNVERIFIED,
37,What will Gold hit by end of Feb?,NO,324307,96.2%,0.15,567%,Commodities,UNVERIFIED,
37,US Government Funding Lapse?,NO,257956,94.9%,UNKNOWN,UNKNOWN,Politics,UNVERIFIED,
39,Ilhan Omar town hall attack staged?,YES,427819,97.1%,UNKNOWN,UNKNOWN,Politics,UNVERIFIED,
39,Will Iranian regime fall by Jan 31?,YES,705207,97.1%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
40,What price will XRP hit Nov?,YES,283763,97.0%,UNKNOWN,UNKNOWN,Crypto,UNVERIFIED,
41,US/Israel strikes Iran?,YES,121702,96.9%,0.57,75%,Geopolitics,UNVERIFIED,
43,Polymarket US go live 2025?,NO,524460,96.5%,UNKNOWN,UNKNOWN,Other,UNVERIFIED,
43,US strikes Iran by...?,NO,159401,96.0%,0.12,-100%,Geopolitics,LOSS,-159401
44,Russia x Ukraine ceasefire Nov 30?,YES,388977,98.2%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
48,Will Silver hit ___ by end of Jan?,NO,372828,94.8%,0.31,225%,Commodities,WIN,837652
56,Israel strikes Iran by Jan 31?,YES,688872,95.5%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
57,Who will perform at halftime show?,NO,688138,96.5%,0.30,232%,Entertainment,WIN,1598035
57,U.S. strike on Somalia?,NO,451051,94.6%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
62,What will Gold hit by end of Jan?,YES,277961,96.7%,UNKNOWN,UNKNOWN,Commodities,UNVERIFIED,
63,What will happen before GTA VI?,NO,332500,98.9%,0.49,104%,Gaming,LOSS,-332500
63,US strikes Iran?,NO,265867,97.1%,0.02,-100%,Geopolitics,LOSS,-265867
68,US government shutdown Saturday?,YES,519321,96.0%,0.23,335%,Politics,WIN,1738596
69,What will happen before GTA VI?,YES,332500,98.9%,0.49,104%,Gaming,LOSS,DUPLICATE
72,Will Silver hit ___ end of Jan?,NO,656127,95.8%,UNKNOWN,UNKNOWN,Commodities,UNVERIFIED,
73,Who will Trump talk to in Nov?,NO,869200,94.8%,UNKNOWN,UNKNOWN,Politics,UNVERIFIED,
85,Xi Jinping out in 2025?,YES,2046735,98.6%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
86,Russia x Ukraine ceasefire 2025?,YES,1789577,97.0%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
86,Who will perform at halftime show?,NO,688138,96.5%,0.30,232%,Entertainment,WIN,DUPLICATE
87,Khamenei out by Jan 31?,YES,978364,96.7%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
103,Will Silver hit ___ by end of Jan?,NO,934589,94.0%,UNKNOWN,UNKNOWN,Commodities,UNVERIFIED,
105,How long will Shutdown last?,NO,792705,95.2%,0.30,233%,Politics,WIN,1849645
121,Russia x Ukraine ceasefire by Jan 31?,YES,2654286,96.4%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
127,Maduro out by...?,YES,2034390,96.6%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
134,Who will Trump talk to in January?,NO,2025044,94.3%,0.41,147%,Politics,WIN,2975065
141,US x Venezuela engagement?,YES,1749232,95.2%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
179,Who will Trump talk to in January?,NO,4366595,95.7%,UNKNOWN,UNKNOWN,Politics,UNVERIFIED,
268,Tesla launches FSD?,NO,8992979,97.3%,0.43,133%,Tech,UNVERIFIED,
493,US government shutdown Saturday?,NO,9216089,95.7%,UNKNOWN,UNKNOWN,Politics,UNVERIFIED,
838,US strikes Iran by...?,YES,7071028,96.6%,UNKNOWN,UNKNOWN,Geopolitics,UNVERIFIED,
